no,plot_name_jp,plot_name,code,latitude,longitude,altitude,plot_width,plot_height,area,subplots_width,subplots_height,subplots_area,subplot_width,subplot_height,subplots_n,temperature,wi,ci,precipitation,snowdepth,forest_survey,dominants,Forest001,Forest002,Forest003,Forest004,Forest005,Forest006,Vegetation001,Vegetation002,Vegetation003,Vegetation004,Vegetation005
1,美女平,Bijodaira,A,36.582854,137.466717,1040,100,100,10000,50,50,2500,10,10,25,8.1,63.3,-26.3,3570,284,DBH10cm以上,スギ　,199809,200310,20060925,20090903,20120903,20160907-9,19980711-12,20020820,20080908,20140730-0801,20210913-14
2,ブナ坂,Bunazaka,B,36.578568,137.467562,1090,100,100,10000,40,70,2800,10,10,28,8.1,64.4,-27.8,3352,256,DBH10cm以上,スギ・ブナ　,199809,20020613,20050614,20080602-03,20110607-08,20150914-16,19980709-20,20020821,20080909-10,20140730-0801,20200909-10
3,ブナ平,Bunadaira,E,36.580857,137.47948,1190,100,100,10000,50,50,2500,10,10,25,7.9,61.9,-26.9,3440,273,DBH10cm以上,ブナ・スギ　,199910,200310,20060926,20090831,20120904,20170904-7,19990816-17,20050821,20110905,20180905-7,20230703-06
4,上ノ小平,Kaminokodaira,H,36.571317,137.506773,1430,100,100,10000,50,50,2500,10,10,25,6.4,53.2,-35.9,3557,323,DBH10cm以上,スギ・キタゴヨウ,200009,20040531-0601,20070605-06,20100615,20130625-27,20180905-7,20000905,20030804,20090901-02,20150914-16,20230903-06
5,弥陀ヶ原,Midagahara,D,36.5739972,137.554075,1890,5,100,500,5,100,500,5,5,20,8.1,63.3,-26.3,3570,284,,湿性草原,,,,,,,19990903,20050905,20100901-02,20170904-7,20210914-15
6,美松,Mimatsu,F,36.570683,137.559582,1960,50,100,5000,50,50,2500,10,10,25,3.7,40,-54.4,3633,461,DBH10cm以上,オオシラビソ,199910,20031008,20070605-0713,20100614-0707,20140730-0801,2025,19990818-19,20060905,20120822,20180905-7,202508
7, 松尾峠,Matsuotoge,C,36.561895,137.552649,1970,50,100,5000,100,50,5000,10,10,20,3.4,36.6,-55.2,3459,411,DBH10cm以上,オオシラビソ,199810,20020524,20050613,20080602,20110606,2019,19980718-20,20040902,20100826-0902,20160907-9,20220906-07
8,鏡石,Kagamiishi,G,36.582018,137.575497,2250,25,25,625,25,25,625,5,5,25,2,27.6,-63.8,3725,474,樹高1.3m以上,オオシラビソ,19990904-05,20040617,20070806,20090902,20120724,20170904-7,19990904-05,20040901,20100823-25,20160907-9,20220907-08
9,浄土山,Joudosan,I,36.566646,137.605328,2830,15,15,225,15,15,225,3,3,25,-0.9,17.7,-88.4,3620,501,,ハイマツ,,,,,,,2000906,20060907,20120820,20180905-7,20230703-06
10,有峰,Arimine,J,36.496705,137.429293,1350,100,100,10000,50,50,2500,10,10,25,6,51.6,-39.2,3047,397,DBH10cm以上,ブナ,200009,200406,20070910,20100928,201409,2025,20000911-12,20070905,20131002-03,20190911-13,202508
